機構名稱,縣市別代碼,行政區域代碼,街道項弄號,負責人,電話
"森美牙醫診所","10018","10018020","大同里中正路111號1樓、2樓","李森孟","(03)5260203"
"黃啟祥牙醫診所","10018","10018020","和福街105號","黃啟祥","(03)5269095"
"福華牙醫診所","10018","10018020","育英里四維路54號1樓","吳英法","(03)5262345"
"親民牙醫診所","10018","10018020","竹光路２１號","黃宏正","(03)5427027"
"如意牙醫診所","10018","10018020","光田里水田街131號","呂正德","(03)5422765"
"僑霖牙醫診所","10018","10018020","水田街１２０號","潘瑞誠","(03)5330060"
"經典牙醫診所","10018","10018020","海濱里西濱路一段345號1樓","彭奕炘","(03)5366111"
"博悅牙醫診所","10018","10018020","水田里演藝路25號B1","盧中達","(03)5424303"
"里昂哈佛國際牙醫診所","10018","10018020","北門里北大路192號","沈文彬","(03)5256030"
"彼德潘牙醫診所","10018","10018020","武陵里武陵路82號1樓","曾淑萍","(03)5408285"
"九歌牙醫診所","10018","10018020","武陵里東大路2段188號","遲玉堃","(03)5341616"
"銘燦牙醫診所","10018","10018020","北大路１６0號一樓","陳銘燦","(03)5322345"
"創美牙醫診所","10018","10018020","客雅里經國路二段543號","藍鴻文","(03)5285335"
"博暘牙醫診所","10018","10018020","中正路３８６號","麥正賢","(03)5356805"
"康橋牙醫診所","10018","10018020","光華一街10號","吳令琪","(03)5339722"
"琉璃光牙醫診所","10018","10018020","新民里北大路256號1樓","蘇東隆","(03)5222131"
"安定牙醫診所","10018","10018020","金竹里金竹路150號","胡世輝","(03)5314307"
"光華牙醫診所","10018","10018020","光華一街60號","陳淑純","(03)5312420"
"永川牙醫診所","10018","10018020","光華南街54之2號1樓","陳尚文","(03)5326326"
"謝牙醫診所","10018","10018020","城北街一三九號","謝東榮","(03)5439395"
"全家牙醫診所","10018","10018020","武陵里武陵路73巷6號1樓","林語","(03)5409188"
"雅緻生活牙醫診所","10018","10018020","光田里水田街51號1樓、2樓","林裕斌","(03)5356505"
"馨典牙醫診所","10018","10018020","北門里民富街39號、41號","何宜威","(03)5251977"
"陳清龍牙醫診所","10018","10018020","中山路183號","陳清龍","(03)5220899"
"懷仁牙醫診所","10018","10018020","磐石路３５號","林懷仁","(03)5268510"
"東大牙醫診所","10018","10018020","東大路２段３６５號","李榮泉","(03)5312087"
"仁德牙醫診所","10018","10018020","西大路４７３號","蕭文學","(03)5265556"
"東濟牙醫診所","10018","10018020","湳雅街2-5號","何卓殷","(03)5349277"
"新捷牙醫診所","10018","10018020","水田街２１號","胡正庸","(03)5313190"
"王牙醫診所","10018","10018020","中山路２２號２Ｆ","王黃政","(03)5248922"
"冠傑牙醫診所","10018","10018020","林森路二五三號三樓","田怡君","(03)5238635"
"譚牙醫診所","10018","10018020","武陵路2號","譚顯崑","(03)5333142"
"黃建群牙醫診所","10018","10018020","中華路三段28號","黃建群","(03)5259939"
"潔明牙醫診所","10018","10018020","西門街６２號","郭柏麟","(03)5250227"
"雅群牙醫診所","10018","10018020","水田街134號1樓","溫鈺雅","(03)5153492"
"傑霖牙醫診所","10018","10018020","西大路634號","許文傑","(03)5265995"
"榮浩牙醫診所","10018","10018020","武陵路一五三號","鄭榮浩","(03)5335838"
"陽明牙醫診所","10018","10018020","民富街２７號","吳學孟","(03)5282386"
"翰霖牙醫診所","10018","10018020","西大路710號","郭珊珊","(03)5356930"
"游牙醫診所","10018","10018020","四維路４5號","游振宗","(03)5238158"
"江牙醫診所","10018","10018020","中山路２５３號","江淑媛","(03)5223450"
"懷恩牙醫診所","10018","10018020","潛園里北大路325號","張誌珊","(03)5261357"
"吳慧琳牙醫診所","10018","10018020","經國路一段３２９號１樓","吳慧琳","(03)5319264"
"東寧牙醫診所","10018","10018020","大同里中央路89、91號第一層","曾敬庭","(03)5260768"
"許牙醫診所","10018","10018020","中山路２１１號","許再添","(03)5241661"
"陳牙醫診所","10018","10018020","北大路２３９巷１號","陳奕炘","(03)5234528"
"朝春牙醫診所","10018","10018030","內湖路49號","葉育敏","(03)5377103"
"深潭牙醫診所","10018","10018030","牛埔路４４０號","吳永尚","(03)5388420"
"永志牙醫診所","10018","10018030","牛埔路４３７號","吳永志","(03)5387553"
"香杉牙醫診所","10018","10018030","香山里大庄路130號1-2樓及132號1-2樓","秦偉庭","(03)5397268"
"宏揚牙醫診所","10018","10018010","東光路200號1樓","周豐智","(03)5710189"
"誠品牙醫診所","10018","10018010","南大里西大路91號1樓","陳姮希","(03)5618686"
"晨光牙醫診所","10018","10018010","公園里公園路286號1樓","楊國暐","(03)5610905"
"寓光牙醫診所","10018","10018010","新莊里關新北路155號","徐孟駒","(03)6667756"
"全美牙醫診所","10018","10018010","振興里南大路586號","何政璋","(03)5620119"
"心勤美學牙醫診所","10018","10018010","埔頂里埔頂二路99號1-2樓","林士桓","(03)6669898"
"恩澄牙醫診所","10018","10018010","關新里光復路一段362-9號1-2樓","吳兆鴻","(03)6686764"
"怡櫟牙醫診所","10018","10018010","東新路1號1樓","陳長佑","(03)5750869"
"明悅精品牙醫診所","10018","10018010","中央路214號1-2樓","李湘晴","(03)5331586"
"朱育正牙醫診所","10018","10018010","復中里中央路219號1-2樓","朱育正","(03)5436999"
"倨誠牙醫診所","10018","10018010","三民里民族路117號1-2樓","韓伊淳","(03)5358866"
"皓齊牙醫診所","10018","10018010","新興里南大路397號1-2樓","王廸崴","(03)5621009"
"和毅牙醫診所","10018","10018010","南市里林森路149號1、2樓","吳和泰","(03)5228866"
"園區牙醫診所","10018","10018010","仙水里光復路一段307號1樓","鄭宇芯","(03)5783712"
"晶華牙醫診所","10018","10018010","科園里科學園區力行六路8號3樓317C室","辜柏誠","(03)5779577"
"品御牙醫診所","10018","10018010","東園里八德路162號1樓","李俊瑩","(03)5725557"
"京典牙醫診所","10018","10018010","金山里金山十一街19號1樓","吳易霖","(03)6663888"
"日光翡麗牙醫診所","10018","10018010","關新里關新路65號","馬瑞宏","(03)5678699"
"紐約牙醫診所","10018","10018010","文華里民生路309號2F","許祥威","(03)5152206"
"寶傑美學牙醫診所","10018","10018010","福德里中華路二段702號1～2樓","李寶傑","(03)5280377"
"森源牙醫診所","10018","10018010","綠水里光復路二段261號1、2樓","林森田","(03)5728088"
"意康牙醫診所","10018","10018010","仙水里光復路一段331-2號","王啟得","(03)6663232"
"金牛頓牙醫診所","10018","10018010","豐功里建功一路176號、178號","蘇筌瑋","(03)5733896"
"關新牙醫診所","10018","10018010","新莊里關新東路356號","卓聯宇","(03)5770607"
"東門牙醫診所","10018","10018010","榮光里東門街67號1樓","劉騰文","(03)5281250"
"筑心筑美牙醫診所","10018","10018010","關新東路280號1-2樓","莊涵芝","(03)5782168"
"嶺先牙醫診所","10018","10018010","關新里關新路225號3樓","張倩瑜","(03)5679312"
"天晴牙醫診所","10018","10018010","龍山里慈濟路206號1樓","王勳甲","(03)5775206"
"杏明牙醫診所","10018","10018010","仙宮里高翠路101號2樓","陳安絹","(03)6668918"
"銘仁牙醫診所","10018","10018010","林森路6號1樓及2樓","熊士強","(03)5255238"
"永霖牙醫診所","10018","10018010","南門街16號","陳瑞陽","(03)5246303"
"品味牙醫診所","10018","10018010","金山街138號1-3樓","郭彥君","(03)6662299"
"小城堡牙醫診所","10018","10018010","復興里經國路一段379巷36號1樓","吳佩蓁","(03)5351855"
"立安牙醫診所","10018","10018010","育賢里東門街34巷9號1樓","許璧娟","(03)5333025"
"森釉牙醫診所","10018","10018010","關新東路276號1-2樓","林佳勳","(03)5797858"
"詠美牙醫診所","10018","10018010","東園里鐵道路一段18號1樓","林東慶","(03)5351153"
"峰皇牙醫診所","10018","10018010","榮光里東門街29、31號","陳文傑","(03)5243666"
"育賢牙醫診所","10018","10018010","光鎮里南大路830號","廖雅惠","(03)5621717"
"君悅牙醫診所","10018","10018010","科園里光復路一段563號1、2樓","陳俊利","(03)5787088"
"佳新牙醫診所","10018","10018010","新莊街八十一號","黃堯堂","(03)5633346"
"美日牙醫診所","10018","10018010","東門街二十三、二十五號一、二、三樓","羅秋美","(03)5232502"
"德陞牙醫診所","10018","10018010","光復路一段五○七號一樓","王昭凱","(03)5636611"
"達觀牙醫診所","10018","10018010","大同路７－１號二樓","郭尚倫","(03)5265589"
"新美學牙醫診所","10018","10018010","新莊里關新路19巷5號","周郁玫","(03)6668610"
"惠群牙醫診所","10018","10018010","公園里南大路109號","溫飛翊","(03)5250037"
"尖端牙醫診所","10018","10018010","光復路二段２７２號二樓","古國鉅","(03)5714800"
"崇善牙醫診所","10018","10018010","復中里３鄰錦華街１４號２Ｆ","郭振興","(03)5349447"
"榮信牙醫診所","10018","10018010","光復路一段４７２號三樓之八","劉信熹","(03)5781122"
"大新牙醫診所","10018","10018010","光復路二段３８３號","楊演杉","(03)5714371"
"安徒生牙醫診所","10018","10018010","武功里建功一路87號","徐玉玲","(03)5749385"
"安心牙醫診所","10018","10018010","復中里民生路246號1樓","簡英健","(03)5312378"
"尊爵時尚牙醫診所","10018","10018010","豐功里建中路128號1樓及130號1樓","李鎮宇","(03)5733699"
"清新牙醫診所","10018","10018010","南門里中華路二段501號1樓","呂玄評","(03)5260672"
"禾一牙醫診所","10018","10018010","南大里西大路17號、19號1、2樓","潘姿延","(03)5611691"
"明威牙醫診所","10018","10018010","新莊里關新路19巷31號","陳世明","(03)6667907"
"普洛牙醫診所","10018","10018010","軍功里光復路二段430號1樓","張雪芬","(03)5751992"
"國喬牙醫診所","10018","10018010","光復路二段一七六號","楊欣達","(03)5714520"
"敏華牙醫診所","10018","10018010","新莊里關新路27號3樓之2及3樓之3","王敏權","(03)6686151"
"敦品牙醫診所","10018","10018010","三民里民權路101號1樓","宋錦明","(03)5438382"
"皇家牙醫診所","10018","10018010","中正里中正路93號1樓","陳志賢","(03)5223811"
"簡牙醫診所","10018","10018010","民生路２００號","簡英俊","(03)5320790"
"上慈牙醫診所","10018","10018010","民族路84-2號","劉惠娟","(03)5355655"
"孫牙醫診所","10018","10018010","西大路３７６號","孫文郁","(03)5241665"
"宏昌牙醫診所","10018","10018010","中央路１４４號１樓","許瑞宏","(03)5324237"
"蔡牙醫診所","10018","10018010","民權路５９號","蔡國明","(03)5323636"
"大學牙醫診所","10018","10018010","光復路二段４３４號","施幸美","(03)5720909"
"康齡牙醫診所","10018","10018010","光復路二段222號","高翔鵬","(03)5753033"
"耕心牙醫診所","10018","10018010","光復路二段380號二樓","羅明灃","(03)5727139"
"貝多芬牙醫診所","10018","10018010","建功一路59巷6號","張慧男","(03)5749567"
"關東橋仁美牙醫診所","10018","10018010","西大路165號1F","施性平","(03)5615320"
"誼安牙醫診所","10018","10018010","復中里中央路178號1樓","薛文崚","(03)5357700"
"品傑牙醫診所","10018","10018010","東南街１５０號","陳明達","(03)5619665"
"王存禎牙醫診所","10018","10018010","食品路142號1樓","王存禎","(03)5615581"
"陳慧貞牙醫診所","10018","10018010","建新路36號","陳慧貞","(03)5723629"
"鄭牙醫診所","10018","10018010","南大路３４３號","鄭志賢","(03)5265456"
"米羅牙醫診所","10018","10018010","光復路一段432號","曾朝國","(03)5642009"
"宏大牙醫診所","10018","10018010","食品路５４５號","羅文杰","(03)5613537"
"智信牙醫診所","10018","10018010","新莊街75號77號1樓","蔣智信","(03)5781997"
"秀雅牙醫診所","10018","10018010","金山里金山北二街61號","曾還慧","(03)5780580"
"微笑牙醫診所","10018","10018010","民族路一五八之一號一樓","陳恩翊","(03)5152408"
"王子牙醫診所","10018","10018010","文華里田美三街20號","蕭雅尹","(03)5337890"
"上上牙醫診所","10018","10018010","中山路４００號","曾堃益","(03)5251383"
"展新牙醫診所","10018","10018010","勝利路一七五號二樓","黃昱霖","(03)5246312"
"先進牙醫診所","10018","10018010","食品路417號","蘇大海","(03)5228999"
"金明牙醫診所","10018","10018010","食品路１０３巷２號１Ｆ","汪金豪","(03)5711899"
"信愛牙醫診所","10018","10018010","北大路29之1號2樓","胡哲雄","(03)5313760"
"崇安牙醫診所","10018","10018010","科園里科學園路33號1樓及2樓","黃俊仁","(03)5785936"
"珂牙醫診所","10018","10018010","武昌街１０６號","彭明駿","(03)5234023"
"維泰牙醫診所","10018","10018010","民族路４７號","詹文玄","(03)5320432"
"溫牙醫診所","10018","10018010","三民里民族路177號","溫建中","(03)5331081"
"禮正牙醫診所","10018","10018010","光復路一段３８１號","姜禮正","(03)5776703"
"沈牙醫診所","10018","10018010","博愛街138號","沈顯坤","(03)5725735"
"新明牙醫診所","10018","10018010","光復路一段４３６號","徐煥明","(03)5798759"
"唐牙醫診所","10018","10018010","南大路８１６號","唐明旺","(03)5267838"
"親親牙醫診所","10018","10018010","東南街145號","陳天河","(03)5252771"
"明湖牙醫診所","10018","10018010","南大路４７１號","林事銘","(03)5256237"
"光復牙醫診所","10018","10018010","光復路二段３５７號","王瑞榮","(03)5726508"
"三民牙醫診所","10018","10018010","中央路２８８號","羅鴻政","(03)5310486"
"陳奕熹牙醫診所","10018","10018010","民主路99號2樓","陳奕熹","(03)5430272"
"中心牙醫診所","10018","10018010","北大路76號","錢武興","(03)5152786"
"曾元春牙醫診所","10018","10018010","北大路２７－１號","曾元春","(03)5336931"
"聯合牙醫診所","10018","10018010","光復路一段631號1樓、2樓","鄧世玲","(03)5770643"
"明皓牙醫診所","10018","10018010","食品路二二二號","黃明燦","(03)5618777"
"綻美牙醫診所","10018","10018010","占梅路20號1樓、22號1樓","張鑫偉","(03)6686520"